Author,Comment,Time,Cleaned_Comment,Sentiment_Score,Sentiment_Label
@wasistanvan6613,"panci suruh kembalikan dulu 😅
    9,5m uang rakyat 😂",1 hari yang lalu,panci suruh kembali dulu m uang rakyat,-2,negatif
@dimasseto7248,"fakta2 yg di ajukan roy suryo cs logis dan terang benderang, sangat dragukan ijasah jokowi
dipakailah logika kekuasaan lewat polisi dengan membangun argumen dan narasi via tenaga ahli
dan pada akhir nya logika akal sehat masyarakat akan dipaksa untuk menerima logika kekuasaan itu.",1 hari yang lalu,fakta aju roy suryo cs logis terang benderang sangat dragukan ijasah jokowi pakai logika kuasa lewat polisi bangun argumen narasi via tenaga ahli akhir nya logika akal sehat masyarakat paksa terima logika kuasa,7,positif
@barbarking307,Tuman 😂,1 hari yang lalu,tuman,0,netral
@BOBAChanel-s1g,Bawa2 nama TUHAN 😂😂😂,1 hari yang lalu,bawa nama tuhan,0,netral
@abahlukychanel5346,"​ @AjiSalim-fb4mr komentar blunder, secara tdk langsung mengakui bahwa kubu yg anda dukung telah melakukan kebohongan 😅😅",1 hari yang lalu,fbmr komentar blunder tdk langsung aku kubu dukung laku bohong,-1,negatif
@arifhandy4619,Yang pengalaman masuk bui siapa? 😂,1 hari yang lalu,alam masuk bui siapa,0,netral
@rinipadangprancis695,Preeeeet 😂😂😂,1 hari yang lalu,preeeeet,0,netral
@achmada-np1bs,Amiiin,1 hari yang lalu,amiiin,0,netral
@udinjaenudin-w8r,Pejuang    yg sia sia  konyol,1 hari yang lalu,juang sia sia konyol,-1,negatif
@udindinoce9978,"klo Tuhan gak sesuai mau mu, apa akan nyalahkan Tuhan ???? 🤭😬",1 hari yang lalu,klo tuhan sesuai mu apa nyalahkan tuhan,1,positif
@srisuciatimakmur8352,Allahumma Aamiin Ya Mujibassailin 🤲🏻🤲🏻🤲🏻,1 hari yang lalu,allahumma aamiin mujibassailin,0,netral
@WahyuniRimawati,​@wasisdya gak kuat beli pancitanvan6613,17 jam yang lalu,kuat beli pancitanvan,0,netral
@luqar1f,"Pengadilan adalah tempat yg tepat untuk menguji kejujuran, ketahuan siapa yg jujur siapa yg bohong.. dan yg bohong bakalan masuk penjara",2 hari yang lalu,adil tempat tepat uji jujur tahu siapa jujur siapa bohong bohong bakal masuk penjara,0,netral
@andrevixon.6923,​ @luqar1f ini konoha. Ingat kasus ekspor cpo yg merugikan negara 11trilyun lebih...?? Di pengadilan justru terdakwa di vonis bebas & ternyata setelah di usut oleh kejaksaan terbukti hakim & panitera di suap oleh terdakwa lewat pengacara. Mencari orang jujur di negeri konoha itu ibarat mencari jarum di jerami.,2 hari yang lalu,konoha ingat kasus ekspor cpo rugi negara trilyun lebih adil justru dakwa vonis bebas nyata usut jaksa bukti hakim panitera suap dakwa lewat acara cari orang jujur negeri konoha ibarat cari jarum jerami,2,positif
@bojongsur1881,"​ @andrevixon.6923 kasihan sekali klo udah gak percaya penegak hukum di Indonesia 😂 pasti hidup nya cape banget,klo saya nih mending pindah ke negara lain 😂🏃🏃🏃🏍️",2 hari yang lalu,kasihan sekali klo percaya tegak hukum indonesia hidup nya cape bangetklo mending pindah negara,-1,negatif
@AjiSalim-fb4mr,"Negri angin,,",2 hari yang lalu,negri angin,0,netral
@JainapInap,Kalau mmg benar asli semoga pembela pak jokowi sehat selamat..tapi klau berbohong menutupi kebohongan semoga cepat dapat ajab di dunia ini juga di hina sehina hina nya Aamiin,2 hari yang lalu,mmg benar asli moga bela pak jokowi sehat selamattapi klau bohong tutup bohong moga cepat ajab dunia hina hina hina nya aamiin,-1,negatif
@dodol9792,"​ @JainapInap 
Kalau yg menuduh gak dikoment..?",2 hari yang lalu,tuduh dikoment,0,netral
@dodol9792,"SIMBOL NEGARA INDINESIA ADALAH PANCASILA.. ""BHINEKA TUNGGAL IKA"".

SEJAK KAPAN BERUBAH JD ""KEKUJURAN"".",2 hari yang lalu,simbol negara indinesia pancasila bhineka tunggal ika sejak kapan ubah kujur,0,netral
@iminodhe4220,​ @dodol9792  bisa di jelaskan ? Soalnya sya kurang faham dgn komen abang 🙏,1 hari yang lalu,jelas soal sya kurang faham dgn komen abang,-1,negatif
@dodol9792,"​ @iminodhe4220 
Koment yg mana ?",1 hari yang lalu,koment mana,0,netral
@jefrisupriyadi5541,"Beginilah orang yang gak percaya sama ajaran atau aturan negaranya sendiri dan percaya sama ajaran atau aturan dari luar, padahal ajaran dari luar itu terkenal dari negara jahiliyah, kemungkinan besar ajaran dari jahiliyah banyak yang bohong dan halu",1 hari yang lalu,begini orang percaya ajar atur negara sendiri percaya ajar atur luar padahal ajar luar kenal negara jahiliyah mungkin besar ajar jahiliyah banyak bohong halu,0,netral
@isnawati-ii6pf,​ @iminodhe4220  ngomong 1 lakukan yang 1 jangan 2  apalagi 3  itu maksudnya,1 hari yang lalu,ngomong laku jangan maksud,0,netral
@blegedutchanel551,Tunggu saja p❤engadilan .siapa yg pakai bajuor❤,5 jam yang lalu,tunggu adil siapa bajuor,0,netral
@Atiiiii-el4th,"Itu susahx krn nt km blg jujur klo roy cs yg d menangkn gmn klo emg asli ijazahx pk jkw ms mo d blg palsu br d blg jujur, aneh bin ajaib",2 hari yang lalu,susahx krn nt km blg jujur klo roy cs d menangkn gmn klo emg asli ijazahx pk jkw ms mo d blg palsu br d blg jujur aneh bin ajaib,3,positif
@rudijunizar5864,Yahh ahli ini  sdh pasti pilihan jokowi...mana  berani polisi manggil ahli yg kontra jokowi..,2 hari yang lalu,yahh ahli sdh pilih jokowimana berani polisi manggil ahli kontra jokowi,1,positif
@dadsaccount8354,"​ @rudijunizar5864 Terus lo akan bilang polisi dan pengadilan berpihak jokowi kan wkwkwk, knp gak lapor NATO aj klo gt 😂😂😂",2 hari yang lalu,lo bilang polisi adil pihak jokowi kan wkwkwk knp lapor nato aj klo,0,netral
@shopidshopid9236,"Sidang belum berjalan sudah seudlon  , trs maunya gmna ?
Salah / tidak jokowi harus di hukum penjara 150 thn gitu baru puas gerombolan orang2 yg sakit hati termasuk semua dari HTI /FPI .",2 hari yang lalu,sidang jalan seudlon mau gmna salah jokowi hukum penjara thn baru puas gerombol orang sakit hati masuk semua hti fpi,-2,negatif
@NgatemiKasih-l8w,"Yg jujur satu yg bohong seribu yg bohong tetap menang,selamat bertahan dg bohongnya sampai titik penghabisan,stlah itu kejujuran akan muncul",2 hari yang lalu,jujur satu bohong ribu bohong tetap menangselamat tahan dg bohong titik penghabisanstlah jujur muncul,0,netral
@NuryantoO-wq5dj,"Akan kena gatal"" selama nya semua nya n setruk selama nya Aamiin🤲",2 hari yang lalu,kena gatal lama nya semua nya n setruk lama nya aamiin,-3,negatif
@dodol9792,"​ @NuryantoO-wq5dj 
Akan datang hari Mulut dikunci Kata tak ada lagi..
Berkata tangan kita Tentang apa yang dilakukannya.
Berkata kaki kita Kemana saja dia melangkahnya.
Tidak tahu kita Bila harinya..
Tanggung jawab tiba.",2 hari yang lalu,wqdj datang hari mulut kunci kata tak kata tangan apa laku kata kaki langkah bila hari tanggung jawab tiba,0,netral
@nurlelimarpaung8580,"LIBATKAN SAJA DARI HUTAN,,,,BIAR SERU DAN BISA JADI PRESEDEN BAGUS UTK ANAK CUCU YG AKAN DATANG",2 hari yang lalu,libat hutanbiar seru preseden utk anak cucu datang,0,netral
@hanifanaffandi8679,Masing masing pihak bawa ahli yg berimbang masing masing 25 ahli,1 hari yang lalu,masing masing pihak bawa ahli imbang masing masing ahli,2,positif
@mannto8287,"Yang dukung rismon dkk wajib di pertanyakan ,😂😂😂 
?",1 hari yang lalu,dukung rismon dkk wajib tanya,1,positif
@ekamahardika6515,Yg jujur panci cs katanya yg bodoh😂😂😂😂,1 hari yang lalu,jujur panci cs kata bodoh,-1,negatif
@sunardisunardi5776,"Aku gak butuh bnyk2 tnga ahli,cukup 1 aza yg alhli mmgaburkan masalah aza biar fres bebas gak beban lagi",1 hari yang lalu,aku butuh bnyk tnga ahlicukup aza alhli mmgaburkan masalah aza biar fres bebas beban,-1,negatif
@ceritaaqib8430,Se7 kita doa kan yang membela dengan didasarkan tdk dengan kebenaran dan jujur smga kena azab Allah Aamiin YRA.,1 hari yang lalu,se doa kan bela dasar tdk benar jujur smga kena azab allah aamiin yra,2,positif
@HarmonoMono-o8p,Jangan jangan sebalik nya ya​ @NuryantoO-wq5dj ,1 hari yang lalu,jangan jangan balik nya wqdj,0,netral
@HarmonoMono-o8p,Hoy osinudin,1 hari yang lalu,hoy osinudin,0,netral
@DeaikFormosa,Psti km bilng tdk jujur,1 hari yang lalu,psti km bilng tdk jujur,1,positif
@BudiAnto-qb4cm,"Tinggal tunjukan ijasah jokowi trus diuji bareng oleh ahli kdua pihak jangan cari"" Pasal untuk menghukum orang",1 hari yang lalu,tinggal tunjuk ijasah jokowi trus uji bareng ahli kdua pihak jangan cari pasal hukum orang,1,positif
@maryatimaryati674,"Org yg bakal menang omgnya santai!! Krn bakalan menang!!,,, beda ma yg mo klh!!,, omgnya ndrojos keras   itu pertanda takut kalah tapi emg betul2 kalah!!!😂😂😂😂",1 hari yang lalu,org menang omgnya santai krn bakal menang beda ma mo klh omgnya ndrojos keras tanda takut kalah emg betul kalah,-1,negatif
@maryatimaryati674,​ @HarmonoMono-o8p  😂😂😂😂😂SI UDIN NDROJOS TAPI GK MUTUUUU😂😂😂😂CUMA RAME SWARANYA DOANG KAYAK MERCON😂😂😂😂DHOR DHOR TRS HILANG😂😂😂,1 hari yang lalu,op si udin ndrojos gk mutuuuucuma rame swaranya doang mercondhor dhor hilang,0,netral
@BismillahKebaikan,"Pokoknya  yg berpihak jkw. berarti dianggap tidak jujur.
Sampai malaikatpun bela jkw pasti dibilang tidak jujur.",1 hari yang lalu (diedit),pokok pihak jkw arti anggap jujur malaikat bela jkw bilang jujur,3,positif
@ArisnoJbi,Yg mngadakn 7 ahli itu jokowi.brti itu punya jokowu😅😅😅,1 hari yang lalu,mngadakn ahli jokowibrti punya jokowu,1,positif
@MuhSyarif-zz3no,"Itulah harapan rakyat, tapi agaknya masih sulit diterapkan",1 hari yang lalu,harap rakyat agak sulit terap,0,netral
@BismillahKebaikan,"​ @MuhSyarif-zz3no sulit harapan rakyat A dn B berbeda persepsi. 😂😂😂.

Pengen bela A yang B bantah.
Belq B yang A ngebantah.

Itulah seni.",1 hari yang lalu,zzno sulit harap rakyat a dn b beda persepsi ken bela a b bantah belq b a ngebantah seni,0,netral
@jualmahal4269,"Kubu jokowi ok, berarti sdh diatur..😅",16 jam yang lalu,kubu jokowi arti sdh atur,0,netral
@ulama1968-d7x,pembohong pastilah masuk penjara..,2 hari yang lalu,bohong pasti masuk penjara,-2,negatif
@slametibnpawito8528,"​ @ulama1968-d7x  Setuju 👍👍👍
Apalagi yg sudah memBOHONGI seluruh rakyat Indonésia",2 hari yang lalu,dx tuju bohong seluruh rakyat indonsia,-1,negatif
@bojongsur1881,Betul 😂😂😂 pembohong pasti masuk dan itu Roy Suryo cs,2 hari yang lalu,betul bohong masuk roy suryo cs,-1,negatif
@NuryantoO-wq5dj,"Aamiin"" ya robb alaamiin🤲🤲",2 hari yang lalu,aamiin robb alaamiin,0,netral
@BoyJawa-qd8uh,Nah kan itu bisa mikir pemboong pasti masuk penjara kami percaya klo Roy panci cs masuk buiii😅😅😅,2 hari yang lalu,nah kan mikir pemboong masuk penjara percaya klo roy panci cs masuk buiii,-2,negatif
@Sita97-p8v,Konferensi pers ijazah boleh yang fotocopy ya?????,2 hari yang lalu (diedit),konferensi pers ijazah fotocopy,0,netral
@AdiSusanto-zn9yr,Bohongnya dmn ?,2 hari yang lalu,bohong dmn,-1,negatif
@waas1590,Udah memenjarakan orang terus berbohong dosanya numpuk,1 hari yang lalu,penjara orang bohong dosa numpuk,-3,negatif
@espadarichie6680,"​ @AdiSusanto-zn9yr   bohongnya dimana ?
Tanya kasmudjo 😂",1 hari yang lalu,znyr bohong tanya kasmudjo,-1,negatif
@dodol9792,"​ @waas1590 
WADUH.. 
PAK HAKIM & PAK JAKSA & PENGACARA.. JUGA KERJAANNYA MEMENJARAKAN ORANG..",1 hari yang lalu,waduh pak hakim pak jaksa acara kerja penjara orang,-1,negatif
@suryantod5837,Mestinya yg membuktikan itu ya ijazahnya yg di anggap palsu itu dibandingkan dg ijazah lain yg asli.dari  U G M  tapi memang di buat mbulet alias dibuat sulit kok masyarakat sdh pd tau kok,1 hari yang lalu,mesti bukti ijazah anggap palsu banding dg ijazah aslidari u g m memang buat mbulet alias buat sulit kok masyarakat sdh pd kok,-1,negatif
@suryantod5837,Diiaaaaaammmm.........😂😂😂,1 hari yang lalu,diiaaaaaammmm,0,netral
@yamincn4133,Amiiiin pembohong dn pemfitnah saya pastikan akan pake baju oranye termasuk gerombolan Roy Suryo,1 hari yang lalu (diedit),amiiiin bohong dn fitnah pasti baju oranye masuk gerombol roy suryo,-2,negatif
@BakriSuherman-m7f,Siapa yg bohong nanti..kita lihat diPengadilan...dan siapa yg nanti digiring utk menginap di Hotel Prodeo..,1 hari yang lalu,siapa bohong nantikita lihat dipengadilandan siapa giring utk inap hotel prodeo,-1,negatif
@HandryBernard,Apalagi pembohong yg udah kena penyakit kulit budug,1 hari yang lalu,bohong kena sakit kulit budug,-2,negatif
@slametibnpawito8528,​ @BoyJawa-qd8uh HARUS ya nalar TERBALIK untuk membela jokowi...?,1 hari yang lalu,qduh nalar balik bela jokowi,0,netral
@ANRIZA-oz5qt,Roisuryo cs orang jujur  saya orang awam aja bisa menilai  mana yang jujur  mana yang bohong,6 jam yang lalu,roisuryo cs orang jujur orang awam nilai mana jujur mana bohong,1,positif
@AnindyaFauziah-u2y,Dilindungi di penjara maksudnya,1 hari yang lalu,lindung penjara maksud,-1,negatif
@umayy-fm4ob,lenih cepat grombolan yg gk penting dy tangkap biar aman,1 hari yang lalu,lenih cepat grombolan gk penting dy tangkap biar aman,3,positif
@predatorjaya178,Parah narasinya.. Kwakkakak,1 hari yang lalu,parah narasi kwakkakak,-1,negatif
@juniyanto7269,pengacara spesialis gagal..klien nya ga pernh ada yg menang..wkwkwk,1 hari yang lalu,acara spesialis gagalklien nya pernh menangwkwkwk,0,netral
@NurKhamit-z8w,Ahmad tompel 😊,1 hari yang lalu,ahmad tompel,0,netral
@titinyuliana3841,Udin TOMPEL pasti KEOK,1 hari yang lalu,udin tompel keok,0,netral
@alinst619,Hiya hiya hiya bolehlah,1 hari yang lalu,hiya hiya hiya boleh,0,netral
@alinst619,​ @juniyanto7269 iya setuju 😂,1 hari yang lalu,iya tuju,0,netral
@AldyYanto-z9m,Tuhanmu patung ya😂,2 hari yang lalu,tuhan patung,-1,negatif
@dodol9792,"Tanda2 akhir jaman semakin terlihat..
Pengukit d.j.l mulai menebar fitnah..",2 hari yang lalu,tanda akhir jaman makin lihat pengukit djl mulai tebar fitnah,-1,negatif
@NuryantoO-wq5dj,Aamiin🤲,2 hari yang lalu,aamiin,0,netral
@herusnanang9189,"orang HTI dipercaya kocak, dia mau merubah Pancasila jd negara khilafah. 
🤣🤣🤣",1 hari yang lalu,orang hti percaya kocak rubah pancasila negara khilafah,0,netral
@sumiati1759,"Pengacara  yg konsisten ,  semoga allah swt memudahkan perjuanngannya   dalam menunjukan kebenaran  Aamiin",2 hari yang lalu,acara konsisten moga allah swt mudah perjuanngannya tunjuk benar aamiin,3,positif
@santosohadi9791,"Ya .Allah tunjukkan kuasaMu.
Lindungilah para pejuang penegak kebenaran..",1 hari yang lalu,allah tunjuk kuasa lindung juang tegak benar,2,positif
@mikoindonesia,"Pak Ahmad khosinudin mengatakan kebenaran,yg 2 org disampingnya membela kebohongan. Biar Allah SWT yg membalas",2 hari yang lalu,pak ahmad khosinudin kata kebenaranyg org samping bela bohong biar allah swt balas,-1,negatif
@beruangyutub4607,"Harusnya kalau yakin asli, UGM & Jokowi konferensi pers bersama untuk menyanggah isu ini.",1 hari yang lalu,harus yakin asli ugm jokowi konferensi pers sama sanggah isu,1,positif
@SyamElBugs,Yg paling penting n menentukan diperlukan Hakim    Ahli Hukum KEJUJURAN.,2 hari yang lalu,paling penting n tentu perlu hakim ahli hukum jujur,2,positif
@azharazhar-fj5ic,"Pengacara Ahmad khozinudin
Cerdas jelas dan mudah di mengerti, smga sht slalu dan lancar untuk membela kebenaran amiin👍👍👍",2 hari yang lalu,acara ahmad khozinudin cerdas jelas mudah erti smga sht slalu lancar bela benar amiin,3,positif
@kabaygemes8234,Semoga orang yg berbohong mendapat hidayah dari Allah sehingga muncul kebenaran,1 hari yang lalu,moga orang bohong dapat hidayah allah muncul benar,0,netral
@aguswidagdo5785,Dampak kerusakan Jokibul luar biasaahh..😢,1 hari yang lalu,dampak rusa jokibul luar biasaahh,0,netral
@AcungCelebok,"Bang khoxinudin cerdas, omongan nya masuk akal muda dimengerti",2 hari yang lalu,bang khoxinudin cerdas omong nya masuk akal muda erti,2,positif
@hamerukurniawan176,Bagus juga pencerahan dari bang Ahmad. Pengacara yg hebat. Bravo bang.,1 hari yang lalu,cerah bang ahmad acara hebat bravo bang,2,positif
@jekikurniawan8554,"Sesuatu yg benar itu mudah
Sesuatu yg bohong itu susah",1 hari yang lalu,benar mudah bohong susah,0,netral
@encikyusof6024,sebab itulah kita umat islam wajib memilih peminpin yg berilmu beramal soleh dan bertakwa (takut pada Allah) pasti aman dan diberkati Allah...,1 hari yang lalu,umat islam wajib pilih peminpin beril amal soleh takwa takut allah aman kati allah,0,netral
@HadiPrasetia-z6r,Harusnya pada waktu uji forensik Pak Rismon dan Pak Roy Suryo dilibatkan mewakili publik.,1 hari yang lalu,harus waktu uji forensik pak rismon pak roy suryo libat wakil publik,0,netral
@aknianingsih2705,"Sgt sk menyimak pencerahan dri Bpk Akhmad Khozinudin sgt msk akal mudah di pahami🎉🎉🎉
Pengacara Sholeh nan Cerdas ❤️❤️❤️",2 hari yang lalu,sgt sk simak cerah dri bpk akhmad khozinudin sgt msk akal mudah paham acara sholeh nan cerdas,3,positif
@suroso0711,"Semoga pengacara Roy suryo cs ditambah kecerdasannya, orang orang membela kebohongan tetap bertahan dengan kebohongannya.",2 hari yang lalu,moga acara roy suryo cs tambah cerdas orang orang bela bohong tetap tahan bohong,0,netral
@Duryat-d6l,"Di Indonesia siapa yg duitnya banyak salah, bohong bisa jadi benar apalagi para oknum polisi pengacara bahkan hakim  😂😂😂😂",3 jam yang lalu,indonesia siapa duit banyak salah bohong benar oknum polisi acara bahkan hakim,0,netral
@Sanimun1958,"Lanjut Bang Roy , CS ,bersama Pengacaranya kami butuh kebenaran bukan kebohongan,kami juga ingin semua agar jujur siapapun nanti yg tidak jujur ya harus diterima siapapun orangnya jangan nanti menghindar dari tanggung jawab",2 hari yang lalu,lanjut bang roy cs sama acara butuh benar bukan kebohongankami semua jujur siapa jujur terima siapa orang jangan hindar tanggung jawab,4,positif
@abdullahamin4905,Saya sllu mnemukan fakta dan kebenaran di stiap penjelasan pak Ahmad khozinudin.Runut berdasar data dan fakta.,2 hari yang lalu,sllu mnemukan fakta benar stiap jelas pak ahmad khozinudinrunut dasar data fakta,1,positif
@jangansubscribe9747,"Pengacara Ahmad khozinudin cerdas paparannya mudah di pahami,, maju terus ❤",1 hari yang lalu,acara ahmad khozinudin cerdas papar mudah paham maju,3,positif
@hasanalmufid2502,"Luar biasa pak Ahmad dalam menyampaikan sangat jelas sangat dapat dipahami dan dimengerti,disini saya tidak berpihak tapi sekali lagi emang luar biasa pak Ahmad ❤❤❤",1 hari yang lalu,luar biasa pak ahmad sampai sangat jelas sangat paham dimengertidisini pihak sekali luar biasa pak ahmad,-2,negatif
@Syukri-b7i,Kebenaran itu tetap tidak berpihak ijazah palsu tukang bohong😂,2 hari yang lalu,benar tetap pihak ijazah palsu tukang bohong,0,netral
@wantokobra4468,yg bkn ribut itu mulyono,2 hari yang lalu,bkn ribut mulyono,-1,negatif
@annmary4788,Aamiin Aamiin yaa rabbal Aalamiin 🤲,2 hari yang lalu,aamiin aamiin yaa rabbal aalamiin,0,netral
@pangkalgudang6752,"Aduuhhhh buktiin kalo palsu bawa kepersidngn,,hidup kalian ngeras bersih,,",1 hari yang lalu,aduuhhhh buktiin palsu bawa kepersidngnhidup kalian ngeras bersih,0,netral
@BakriSuherman-m7f,"​ @Syukri-b7i 
Kita lihat nanti tgl 2 Juli..siapa yg berhak pakai baju ORENGE...utk Nginep di Hotel Prodeo .",1 hari yang lalu,bi lihat tgl julisiapa hak baju orengeutk nginep hotel prodeo,0,netral
@Syukri-b7i,​ @BakriSuherman-m7f Haa.. Ternak jokowi and Parcok genk solo bangkit lagi dari alam kubur..😂😅,1 hari yang lalu,mf haa ternak jokowi and parcok genk solo bangkit alam kubur,0,netral
@HendraAs-k1n,Konsisten kalah nya.dan nanti bakal kalah lagi..,1 hari yang lalu,konsisten kalah nyadan kalah,-1,negatif
@alokomarudin,​ @BakriSuherman-m7f ... 😂😂😂😂😂😂😂😂,1 hari yang lalu,mf,0,netral
@rudikasinyo2215,"Sudah memfitnah, g nyadar",1 hari yang lalu,fitnah g nyadar,-1,negatif
@srisugiarni2052,Klo ahlinya termul yo..ga ada keadilanya,1 hari yang lalu,klo ahli termul yoga keadilanya,1,positif
@AbdiPrayogi-b1f,Semoga segera berseragam oranye,1 hari yang lalu,moga segera seragam oranye,0,netral
@DadangDadang-z7u,"​ @pangkalgudang6752 kalau asli dari dulu sdh di lihatkan ,berhubung palsu sampai saat ini siluman ,anak sd aja tau",1 hari yang lalu,asli dulu sdh lihat hubung palsu siluman anak sd,0,netral
@hendriamri1528,konsisten nagcok ya,22 jam yang lalu,konsisten nagcok,1,positif
@murnisihombing4873,"konsisten memang si tompel itu, konsisten dalam kekalahan di setiap sidang . Lihat itu si Gusnur yg baru keluar dari penjara, sudah tobat dia nya",22 jam yang lalu,konsisten memang si tompel konsisten kalah sidang lihat si gusnur baru keluar penjara tobat nya,-1,negatif
@AvelineR-u4x,HTI FPI,6 jam yang lalu,hti fpi,0,netral
@nenenglilis649,mkin cma hukum allh yg mmpu mngadili kasus ini,1 hari yang lalu,mkin cma hukum allh mmpu mngadili kasus,0,netral
@solemanst8342,Ya Allah lindungilah pk Jokowi dari grombolan orang yang selalu membuat gaduh negeri ini,1 hari yang lalu,allah lindung pk jokowi grombolan orang selalu buat gaduh negeri,0,netral
@sodriyanti,Aamiin,1 hari yang lalu,aamiin,0,netral
@arektakraw5417,Aamiin,21 jam yang lalu,aamiin,0,netral
@muhamadsoleh9480,Siapa pejuang itu😂😂😂,19 jam yang lalu,siapa juang,0,netral
@dinarochmawati7559,Aamin 🤲,3 jam yang lalu,aamin,0,netral
@arifsatria5558,Ngomong opo sih lu,2 hari yang lalu,ngomong opo lu,0,netral
@BOLODOGIKANLUMPUR,"Saya tetap tidak yakin AH orang yang mengatakan kebenaran, manusia pemilik kebenaran itu cuma satu Nabi Muhammad saw, jadi jangan tendensius kecuali Anda satu golongan HTI",6 jam yang lalu,tetap yakin ah orang kata benar manusia milik benar satu nabi muhammad saw jangan tendensius satu golong hti,4,positif
@Transformer5299,"AK Cerdas, bicara dimanapun sesuai Fakta² kebenaran.
Yang Claim Ijazah Palsu adalah orang² Cerdas, Ahli, Ilmuwan, Doctor, Lawyer bukan rakyat biasa spt BBTri & Gusnur yg dipenjarakan walaupun tidak ada Barang Buktinya yg tdk pernah ditunjukan ke Publik.
Semakin lama Rakyat semakin Cerdas menilai Ijazahnya Asli/Palsu.",1 jam yang lalu (diedit),ak cerdas bicara mana sesuai fakta benar claim ijazah palsu orang cerdas ahli ilmuwan doctor lawyer bukan rakyat biasa spt bbtri gusnur penjara walaupun barang bukti tdk pernah tunjuk publik makin lama rakyat makin cerdas nilai ijazah aslipalsu,0,netral
@udinudin9758,"Justru karena alumni palsu,maka tidak berani konprensi fersm",1 hari yang lalu,justru alumni palsumaka berani konprensi fersm,0,netral
@BOLODOGIKANLUMPUR,"Namanya beruang ytube sih, jadi tidak mengerti tentang penggalangan operasi intelegent, negara dengan strategi intelegentnya sedang memberangus antek2 HTI sampai ke akar²nya melalui pendekatan kasus ijazah, dengan strategi ini akan bermunculan antek HTI diberbagai elemen, Mudah2an setelah mereka diringkus masyarakat akan aman dan damai sehingga NKRI jaya menuju Indonesia emas 2045",6 jam yang lalu,nama beruang ytube erti galang operasi intelegent negara strategi intelegentnya sedang berangus antek hti akar lalu dekat kasus ijazah strategi muncul antek hti bagai elemen mudah ringkus masyarakat aman damai nkri jaya tuju indonesia emas,2,positif
@Aruminingsih-yz7kx,lha yo kok gak berani. terus kampus UGM kok gak serius menanganinya.,4 jam yang lalu,lha yo kok berani kampus ugm kok serius tangan,-1,negatif
@zulfansyamsuar9135,"Buat alih kapolri satu kata 
DIAAMMMM",2 hari yang lalu,buat alih kapolri satu kata diaammmm,0,netral
@danfortpwr3464,Mereka semua sudah di bayar,2 hari yang lalu,semua bayar,0,netral
@budisantoso4322,Semoga kasus ini ditangani oleh hakim yang jujur dan independen.,2 hari yang lalu,moga kasus tangan hakim jujur independen,1,positif
@tedyherdyana9371,​ @danfortpwr3464  semoga kelak ada proses penyelidikan ttg ini. Kami mendorong pemerintahan untuk lebih bersih diproses pengadilan RI! Aamiin.,2 hari yang lalu,moga kelak proses lidi ttg dorong perintah lebih bersih proses adil ri aamiin,1,positif
@mulyadilubis3354,Hakim yang menantang tuhan jgn di pakai,2 hari yang lalu,hakim tantang tuhan jgn,0,netral
@SyamElBugs,"Kalo bisa pilih saya minta hakim yg tangani kasus praperadilan dlm kasus almarhum Fina di Cirebon. Maaf saya lupa nama beliau
.",1 hari yang lalu,pilih minta hakim tangan kasus praperadilan dlm kasus almarhum fina cirebon maaf lupa nama beliau,-1,negatif
@jenongcathoz1758,😂😂ROY PANCI CS LG BINGUNG MAU CARI PANCI BARU 😂😂😂,1 hari yang lalu,roy panci cs bingung cari panci baru,-3,negatif
@AndiAkhsan-y6b,"Ariyanto kurang update cuma tau nya menutupi dan membela kebohongan,gmana kita mau percaya bapak ini,,dia saja banyak memalsukan😂😂😂😂",1 hari yang lalu,ariyanto kurang update nya tutup bela kebohongangmana percaya bapak inidia banyak palsu,-1,negatif
@akusuka-2992,Rezim amatiran ga becus. Tinggal nunjukin ijasah asli beres.😊,1 hari yang lalu,rezim amatir becus tinggal nunjukin ijasah asli beres,1,positif
@poranghitamgedongcitro1068,Tunggu di penjara  heeee,1 hari yang lalu,tunggu penjara heeee,-1,negatif
@poranghitamgedongcitro1068,Pembenaran oppo kebenaran haaa nalar waras,1 hari yang lalu,benar oppo benar haaa nalar waras,2,positif
@sodriyanti,Aamiin,1 hari yang lalu,aamiin,0,netral
@alaricarkan14,Padahal tdk rumit ya... giginya dan foto detil sdh bisa di tebak..,2 hari yang lalu,padahal tdk rumit gigi foto detil sdh tebak,0,netral
@BOBAChanel-s1g,😂😂😂,1 hari yang lalu,,0,netral
@udinjaenudin-w8r,Akal bulusss​ @alaricarkan14 ,1 hari yang lalu,akal bulusss,0,netral
@maslinahse3956,Salot dgn abang ini cerdas penjelasannya,1 hari yang lalu,salot dgn abang cerdas jelas,1,positif
@IGP-RDJ-,apanya yang cerdas .... wkwkwkwk,12 jam yang lalu,apa cerdas wkwkwkwk,1,positif
@BOLODOGIKANLUMPUR,​ @IGP-RDJ- biarin dibilang cerdas oleh orang yang sederhana literasinya,6 jam yang lalu,rdj biarin bilang cerdas orang sederhana literasinya,1,positif
@ninasalim1491,pengacara yg hebat dalam provokator 😂,1 hari yang lalu,acara hebat provokator,1,positif
@anggawidyatmoko7786,"Pengacara yg asal bicara, yg penting bicara tp sayangnya sering kepleset😅",1 hari yang lalu,acara asal bicara penting bicara tp sayang sering kepleset,2,positif
@yudassejati-n9k,Mencerdaskan kambing,1 hari yang lalu,cerdas kambing,1,positif
