Author,Comment,Time,Cleaned_Comment
@bambangagussantoso615,"Itu abang yg pakai jas coklat aku sering ngliat di banyak tempat dan selalu berakhir dng ngotot.
Sekilas kliatan pinter karena ngomongnya nrocos, pdhl klo diamati sungguh ini hny pinter ngeyel.
Dulu saya kagum ttp maaf dlm kasus Roy dan ijazah aku jd bosen.",1 hari yang lalu,abang jas coklat aku sering ngliat banyak tempat selalu akhir dng ngotot kilas kliatan pinter ngomongnya nrocos pdhl klo amat sungguh hny pinter ngeyel dulu kagum ttp maaf dlm kasus roy ijazah aku bosen
@iyayajaajs3688,Arianto ini honornya kecil ya...sering di undang di tv one...tapi cara ngomongnya tidak seperti ahli😅😅,4 jam yang lalu,arianto honor kecil yasering undang tv onetapi cara ngomongnya ahli
@dimasseto7248,"fakta2 yg di ajukan roy suryo cs logis dan terang benderang, sangat dragukan ijasah jokowi
dipakailah logika kekuasaan lewat polisi dengan membangun argumen dan narasi via tenaga ahli
dan pada akhir nya logika akal sehat masyarakat akan dipaksa untuk menerima logika kekuasaan itu.",1 hari yang lalu,fakta aju roy suryo cs logis terang benderang sangat dragukan ijasah jokowi pakai logika kuasa lewat polisi bangun argumen narasi via tenaga ahli akhir nya logika akal sehat masyarakat paksa terima logika kuasa
@gogotoktafian9938,"​ @dimasseto7248 logis darimana , kalau udah sakit apapun fakta tak kan berguna",1 hari yang lalu,logis darimana sakit apa fakta tak kan guna
@gustisaniah9764,Akhi tim jokowi😂😂,1 hari yang lalu,akh tim jokowi
@dimasseto7248, @gogotoktafian9938  itu bukan nya posisi anda sakit akal ?,1 hari yang lalu,bukan nya posisi sakit akal
@kusmonokusmono2477,Bapak yg ditengah bukan ahli tapi menguatkan menggiring ke yg sblh ..,1 hari yang lalu,bapak tengah bukan ahli kuat giring sblh
@anangsopyan6512,"Org gk waras samapai hrs mengumpulkan ahli tentang ucapan kebebasan berbicara,, padahal Roy CS gk perlu ahli utk masuk penjara, mereka udah pada siap dan rela, klo ijazahnya udah jelas ASLI, kan kata semua pakar pihak Jokowi meraka udah nuduh palsu??? Tp klo nyatanya asli pasti mereka kena pidana, simpel kan?? Gk, perlu repot debat tiao hari baik di tv maupun di medsos, SEKALI LAGI MEREKA PASTI SIAP MASUK PENJARA KARENA DEMI MENDUGA DAN MEMPERTAHANKAN ALMAMATER KAMPUSNYA,, UGM mereka itu semua jebolan UGM dan ijazah dan skripsinya asli 100 milyar%,",1 hari yang lalu,org gk waras samapai hrs kumpul ahli ucap bebas bicara padahal roy cs gk perlu ahli utk masuk penjara siap rela klo ijazah jelas asli kan kata semua pakar pihak jokowi raka nuduh palsu tp klo nyata asli kena pidana simpel kan gk perlu repot debat tiao hari baik tv maupun medsos sekali siap masuk penjara duga tahan almamater kampus ugm semua jebol ugm ijazah skripsi asli milyar
@AhmadAbidin-p7r,Iya ente aja yg jadi ahlinya  sana o daftarkan diiri ente kalo mau jadi ahli,1 hari yang lalu,iya ente ahli sana o daftar iri ente ahli
@dimasseto7248," @AhmadAbidin-p7r  serahkan pekerjaan pada yg ahli nya. Jangan seperti 10thn  kmrn 1 indonesia kena prank oleh pemimpin dicitrakan sederhana merakyat, yg katanya punya gelar insinyur",1 hari yang lalu,pr serah kerja ahli nya jangan thn kmrn indonesia kena prank pimpin citra sederhana rakyat kata punya gelar insinyur
@abdussalamMubarok-y9z,Di akhirat tidak bisa bekit belit,14 jam yang lalu,akhirat bekit belit
@pinangbelarik8802,Sepertinya akan berat sebelah,2 hari yang lalu,seperti berat belah
@EfriYunir,Susah mengharapkan keadilan dari polisi,2 hari yang lalu,susah harap adil polisi
@iraaris-b8x,"​ @EfriYunir ya benar sekali. Seperti biasa, selalu orang -orang jujur dan rakyat yg dirugikan.😢😢😢",2 hari yang lalu,benar sekali biasa selalu orang orang jujur rakyat rugi
@elaksumarkamah6605,​ @EfriYunir kluu gtu gmn klu pkmu yg jd polisi,2 hari yang lalu,kluu gtu gmn klu pkmu polisi
@elaksumarkamah6605,"Gigi kuning tompel,tim provokasi.",2 hari yang lalu,gigi kuning tompeltim provokasi
@AhmadMuchtarom-yj7oi,Pak Ahmad hojonufin orang cerdas dan berani mantaapp,2 hari yang lalu,pak ahmad hojonufin orang cerdas berani mantaapp
@CiptaRis,"yg pro dan kontra sama2 yakin asli dan palsu, tapi kedua pihak gak pernah lihat barang langsung 😂 
makin kesini, makin ngotot pihak ingin mempermalukan dan pihak ingin memenjarakan 😭",1 hari yang lalu,pro kontra yakin asli palsu dua pihak pernah lihat barang langsung makin kesini makin ngotot pihak malu pihak penjara
@juniyanto7269,tp klien nya ga pernh ada yg mennang..msuk bui smua..sbntr lg rombongan ini....siap2 pk baju shopeee..wkwkwk,1 hari yang lalu,tp klien nya pernh mennangmsuk bui smuasbntr rombong inisiap pk baju shopeeewkwkwk
@yabudiasli3041,​ @juniyanto7269 termul 😂😂😂😂,1 hari yang lalu,termul
@Bejaet,"Ya iyalah yg di lawan itu siapa.kekuasaan bro....paling tidak mereka,tidak takut mengatakan kejahatan itu",1 hari yang lalu,iya lawan siapakekuasaan bropaling merekatidak takut kata jahat
@BOLODOGIKANLUMPUR,"AH memang berani, karena gak pernah kuliah",6 jam yang lalu,ah memang berani pernah kuliah
@AnindyaFauziah-u2y,Masuk akal buta orang2 yang tidak punya akal😂,1 hari yang lalu,masuk akal buta orang punya akal
@libanchay6755,Kalian sekelompok orang,1 hari yang lalu,kalian kelompok orang
@juniyanto7269,tp ga pernh menangg.klien nya msuk penjara smua..wkwke,1 hari yang lalu,tp pernh menanggklien nya msuk penjara smuawkwke
@bonaDamanik-xz9bc,Mudah dipahami sma anak abah,1 hari yang lalu,mudah paham sma anak abah
@herryher-sp7zw,Tompel HTI ...😂😂😂,1 hari yang lalu,tompel hti
@titinyuliana3841,udin TOMPEL 100% KEOK,1 hari yang lalu,udin tompel keok
@AllyaYeremia,Maju ke jurang gunung rinjani 😂😂😂,2 hari yang lalu,maju jurang gunung rinjani
@saifuddinzuhri9783,​ @AllyaYeremia ternak muncul,2 hari yang lalu,ternak muncul
@rochmadhartoni1016,Khosinudin suruh mandi biar glowing,2 hari yang lalu,khosinudin suruh mandi biar glowing
@shopidshopid9236,"Kebenaran dari hongkong .
Dah jelas2 fitnah .",2 hari yang lalu,benar hongkong jelas fitnah
@elaksumarkamah6605,Do'anya org biadab terhadap org calon Neraka Jahanam.mka hasilnya Dajjal.,2 hari yang lalu,doa org biadab org calon neraka jahanammka hasil dajjal
@elaksumarkamah6605,"​@rochmadhartoni1016 ❤❤❤ setuju mir,biar giginya kuning,",2 hari yang lalu,tuju mirbiar gigi kuning
@niscalahati6778,Maju ke hotel prodeo,2 hari yang lalu,maju hotel prodeo
@ZainUddin-p8e8i,"Katanya Bu Megawati,Tunjukkan Ijazah,Sudah Selsai Masalah😂",2 hari yang lalu,kata bu megawatitunjukkan ijazahsudah selsai masalah
@supardimazda5636,Ntar dulu lagi cuci muka,2 hari yang lalu,ntar dulu cuci muka
@hoirulpahmi3839,Betul maju ke jurang😂,2 hari yang lalu,betul maju jurang
@belahpinggir99,KRONI HTI YANG SAKIT HATI,2 hari yang lalu,kroni hti sakit hati
@Ricopabloescobar,"Dalil mentok Ternaknya jokowi,, kalau gak HTI ya gerombolan sakit Hati,, tapi saya maklumin lah kan SDM'Nya Rendah Rendah 😂😂😂",2 hari yang lalu,dalil mentok ternak jokowi hti gerombol sakit hati maklumin lah kan sdmnya rendah rendah
@KangwanWan-m4n,Di borong nih panci nya pa,2 hari yang lalu,borong panci nya pa
@NuryantoO-wq5dj,Aamiin🤲,2 hari yang lalu,aamiin
@LomanMer,"Allah lagi....Allah lagi....?!
Allahmu asli kah  ?!
.
Allah yg Asli, akan MENGHUKUM",2 hari yang lalu,allah lagiallah allah asli allah asli hukum
@FirdaFarda-e5w,Wkwkwk😂😂😂😂,2 hari yang lalu,wkwkwk
@ibnuhadi6644,"""membelah ke benaran"" ? Ga skalian membelah bambu?",2 hari yang lalu,belah benar skalian belah bambu
@Taray655,Ring masih jauh udah takuut nih Ahmad...minta dihentikan.....latihan aja yg bener....wkkwk,2 hari yang lalu,ring jauh takuut ahmadminta dihentikanlatihan benerwkkwk
@Taray655,Ring masih jauh udah takuut nih Ahmad...minta dihentikan.....latihan aja yg bener....wkkwk,2 hari yang lalu,ring jauh takuut ahmadminta dihentikanlatihan benerwkkwk
@zomayu121kikan2,"Pembela ke benaran yg mna ,,,tim gerombolan CPT""di jebloskan ke NUSAKAMBANGAN ,,,AMIIIIN",1 hari yang lalu,bela benar mna tim gerombol cptdi jeblos nusakambangan amiiiin
@zomayu121kikan2,"Alkhamdulillah maju truuuus ,,,tim gerombolan CPT""msuuuuk BUI ,,,,AMIIIIN",1 hari yang lalu,alkhamdulillah maju truuuus tim gerombol cptmsuuuuk bui amiiiin
@zomayu121kikan2,"Ke jlan ke BUSUKAN msuk BUI ,,,AMIIIIN",1 hari yang lalu,jlan busuk msuk bui amiiiin
@lasalimsalim,​ @ZainUddin-p8e8i katanya Jokowi Mega jadi presiden bukan karena rakyat 😅,1 hari yang lalu,pei kata jokowi mega presiden bukan rakyat
@asrofiasrofi5543,"Kebenaran yg memaksakan diri, tdnya sy ragu setelah UGM bilang mengeluarkan ya berarti asli apalagi jokowi terdaftar diUGM, mau kuliah sebulan sekali apa seminggu sekali klo dah daftar bayar ikut ujian ya sudah asli, kecuali UGM ga kash ijazah, alias jokowi beli dipinggir jln.",1 hari yang lalu,benar paksa diri tdnya sy ragu ugm bilang keluar arti asli jokowi daftar diugm kuliah bulan sekali apa minggu sekali klo daftar bayar ikut uji asli ugm kash ijazah alias jokowi beli pinggir jln
@abahoge6058,"Om Tom...
Batre nya On terus ya...
Chargernya bagus",1 hari yang lalu,om tom batre nya on chargernya
@yatmen4827,Maju teros biar malu kamu nanti grom olanmu,1 hari yang lalu,maju ros biar malu kamu grom olanmu
@agussudarmadi1320,"Khosinudin itu tdk benar, dia cari pembenaran..semoga ikut masuk",1 hari yang lalu,khosinudin tdk benar cari pembenaransemoga ikut masuk
@HendraAs-k1n,Membela kebenaran dari mana orang yg di bela kalah terus..,1 hari yang lalu,bela benar mana orang bela kalah
@rosalindayani7806,"Bang Ahmad .. menunjukkan keberanian dan kekuatannya dalam berargumen secara logis.
Ia ""Penjaga Hukum dan Akhlak""
Tidak hanya menjaga hukum, tetapi juga nilai moral dan agama
Maju terus bang ..",1 hari yang lalu,bang ahmad tunjuk berani kuat argumen logis jaga hukum akhlak jaga hukum nilai moral agama maju bang
@yuliamahamalia7398,Maju masuk bui😄​ @AllyaYeremia ,15 jam yang lalu,maju masuk bui
@gilabola9297,Kebanyakan minum konidin 🤣,12 jam yang lalu,banyak minum konidin
@MuhMasduki,"Alhamdulillah
Semoga segera sidang tuk penjarakan gerombolan tukang fitnah bayaran👍👍👍",2 hari yang lalu,alhamdulillah moga segera sidang tuk penjara gerombol tukang fitnah bayar
@dodol9792,"😂😂😂.. DIKETAWAIN SAMA ANAK SD...😂😂

SAKSI AHLI DISUMPAH MEMBERIKAN KETERANGAN SEBENARNYA SESUAI DENGAN KEAHLIANNYA...

DILUAR DR TANGGUNG JAWAB PENUDUH & TERTUDUH...",2 hari yang lalu,diketawain anak sd saksi ahli sumpah beri terang benar sesuai ahli luar dr tanggung jawab tuduh tuduh
@nagarataikland5368,Orang berbohong tak akan selamat diakhirat.,2 hari yang lalu,orang bohong tak selamat akhirat
@yogisaputranurdiansyah4939,Betul dan orang orang yang menyebarkan fitnah mencela memaki bapak Jokowi akan bertanggung jawab dunia akhirat… semua akan diadili di sidang akhirat,2 hari yang lalu,betul orang orang sebar fitnah cela maki bapak jokowi tanggung jawab dunia akhirat semua adil sidang akhirat
@DiaAnaana-ex4hr,Harus melibatkan pihak netral biar mslh nya menerima kedua belah pihak.,2 hari yang lalu,libat pihak netral biar mslh nya terima dua belah pihak
@yuliswarwar4368,ahli dari pasar Pramuka.,2 hari yang lalu,ahli pasar pramuka
@Darwinritonga,​ @MuhMasduki  blok medan sudah mulai goyang,2 hari yang lalu,blok medan mulai goyang
@jenongcathoz1758,"😂😂😂WADUH,,,INI BUDAK BIN JONGOS HABIB YA,,,UDH DPT KUNCI SEREP SURGA DR HABIB DOBOLLOWI NIH😂😂😂,,,MINTA RANTE EMAS DONG DAK😂😂😂",1 hari yang lalu,waduhini budak bin jongos habib yaudh dpt kunci serep surga dr habib dobollowi nihminta rante emas dak
@jenongcathoz1758,​ @yuliswarwar4368 😂😂😂AWAS STROKE SUUDAAREEEE 😂😂,1 hari yang lalu,awas stroke suudaareeee
@agussutriatmaja1176,Mereka gax takut akhirat😂😂😂,1 hari yang lalu,gax takut akhirat
@jokongawur1376,Yg fitnah juga bertanggung jawab dunia akhirat,1 hari yang lalu,fitnah tanggung jawab dunia akhirat
@Hartini-m7f,Gol Roy cs biar puas....,1 hari yang lalu,gol roy cs biar puas
@jefrisupriyadi5541,Memangnya anda pernah ke akhirat bro...ini kayaknya gerombolan halusinasi sakit hati penganut jahiliyah,1 hari yang lalu,memang pernah akhirat broini kayak gerombol halusinasi sakit hati anut jahiliyah
@padnawitawan3363,7 Ahli menyembunyikan kebohongan ya? Jangan heran mas bro... Rupiah beraksi😂😂😂,1 hari yang lalu,ahli sembunyi bohong jangan heran mas bro rupiah aksi
@alfatih3305,Mana dipikir yang penting fulus.,1 hari yang lalu,mana pikir penting fulus
@Sultan-uf3zm,Saya yakin izasa jokower palsu😂,1 hari yang lalu,yakin izasa jokower palsu
@mohamadreza9112,​ @Sultan-uf3zm  saya juga yakin ijazah mulyono Asli. Klo ijazah Jokowi Udah jelas palsu. 😂,1 hari yang lalu,ufzm yakin ijazah mulyono asli klo ijazah jokowi jelas palsu
@HannaSumaryanta-x2r,ohh .. seraaaammmm,1 hari yang lalu,ohh seraaaammmm
@titinyuliana3841,DEWA PANCI masuk bui,1 hari yang lalu,dewa panci masuk bui
@MITRA_ERLANGGA,​ @dodol9792 Lo ketawa berarti lo anak SD,1 hari yang lalu,lo ketawa arti lo anak sd
@Trimartono-i5j,"Kl 7 ahli yg panggil dr institusi kepolisian , sama aza bohong.",1 hari yang lalu,kl ahli panggil dr institusi polisi aza bohong
@arifathadi968,"​ @yogisaputranurdiansyah4939 tapi Asemka dan ekonomi meroket,sampai kasmojo, bohong lho,JD yg bikin dosa siapa...klow gak ada kebohongan juga baik2saja,,,jangan lihat api dan asapnya saja tapi lihat asal kebaranya.kau bela Jokowi BS jadi benar BS juga salah... setidaknya akalmu kau pake.",1 hari yang lalu,asemka ekonomi meroketsampai kasmojo bohong lhojd bikin dosa siapaklow bohong baiksajajangan lihat api asap lihat asal kebaranyakau bela jokowi bs benar bs salah akal kau
@edysusanto7660,"Setuju Dr Hamid Awaludin, indikasinya Pak Jokowi akan dimenangkan",1 hari yang lalu,tuju dr hamid awaludin indikasi pak jokowi menang
@dodol9792,"​ @MITRA_ERLANGGA 
Kalo gak ketawa gak bakalan ada yg mau jadi saksi..😂",1 hari yang lalu,ketawa bakal saksi
@dodol9792,"​ @MITRA_ERLANGGA 
KALAU SAKSI AHLI MEMBERIKAN KETERANGAN TDK SEBENARNYA BARU BISA DIPERMASALHKAN...😂😂😂😂😂😂😂😂😂",1 hari yang lalu,saksi ahli beri terang tdk benar baru dipermasalhkan
@akhmadalimudin8962,Btull stujuuuu merka akan dipertgugjwabkn dialam barzah bazer2 pndusta geng slo,1 hari yang lalu,btull stujuuuu merka dipertgugjwabkn alam barzah bazer pndusta geng slo
@dodol9792,"​ @akhmadalimudin8962 
Santet solo kaleee..😂",1 hari yang lalu,santet solo kaleee
@hekpalangmati3793,Komenan anda jg akan dipertanggung jawabkan di dunia dan akherat...,1 hari yang lalu,komenan tanggung jawab dunia akherat
@b-wd8wo,Sama yg fitnah juga harus tanggung jawab didunia dan akhirat nt😂😂😂,14 jam yang lalu,fitnah tanggung jawab dunia akhirat nt
@aminkangipos3781,"Justru yg suka memfitnah org itu hati hati, pk Jokowi dan klwrga itu nga pernah mencaci maki klmpok anda",13 jam yang lalu,justru suka fitnah org hati hati pk jokowi klwrga nga pernah caci maki klmpok
@badygomes152,Di akhirat lw aja banyak bohong,8 jam yang lalu,akhirat lw banyak bohong
@grincorner1116,"Negara buat mainan,negara diluar sana sudah maju kita masih dibikin  plonga plongo ga jelas 😂😂😂",7 jam yang lalu,negara buat mainannegara luar sana maju bikin plonga plongo jelas
@alfonsokondo5751,Woiiii kan Jokowi udah bilang di pengadilan akan di tunjukkan kalau hakim minta.😂😂😂😂 Lucu kalian,1 hari yang lalu,woiiii kan jokowi bilang adil tunjuk hakim minta lucu kalian
@adizaravzarav5898,km tahunya cuman logika tp TK th aturan..dan hak orang lain,1 hari yang lalu,km tahu cuman logika tp tk th aturandan hak orang
@yws3675,"Asli tidak nya barang biar pembuatan nya yang bicara 😂 kau tak percaya pembuatan nya gimana ceritanya,logika mu Dangkal kah 😂😂",1 hari yang lalu,asli nya barang biar buat nya bicara kau tak percaya buat nya ceritanyalogika mu dangkal
@Febi-l6b,Menunjukkan ijazah bukanlah hal yg tabu,22 jam yang lalu (diedit),tunjuk ijazah bukan tabu
@yws3675,​ @Febi-l6b menunjukkan ijazah sesuai dengan keperluan dan kebutuhan dan siapa yang meminta 😂 ngapain nunjukin ke orang tidak semestinya 😂,21 jam yang lalu,lb tunjuk ijazah sesuai perlu butuh siapa minta ngapain nunjukin orang mesti
@xperimental1974,"Kecuali Ternak Mulyono, karena logika sederhana aja gak nyampe otaknya",18 jam yang lalu,ternak mulyono logika sederhana nyampe otak
@WahyuniRimawati,"itu logika orang yg gak cerdas...yg mau merusak NKRI,menfitnah dan membodohi rakyat indonesia...",17 jam yang lalu,logika orang cerdasyg rusak nkrimenfitnah bodoh rakyat indonesia
@askaaska8471,Ijazahnya asli... Kata yang buatnya asli ko,16 jam yang lalu,ijazah asli kata buat asli ko
@SendangMetamorfosa,Pak jokowi belinya yg asli lho..bukan yg palsu,12 jam yang lalu,pak jokowi beli asli lhobukan palsu
@ArPan-k7n,Banyak muliut,2 hari yang lalu,banyak muliut
@NuryantoO-wq5dj,Aamiin🤲🤲,2 hari yang lalu,aamiin
@zulkiplijoel3572,Aamiin yra 🤲🤲,2 hari yang lalu,aamiin yra
@AjiSalim-fb4mr,Preett apa kubu roy ga pernah bohong,2 hari yang lalu,preett apa kubu roy pernah bohong
@JainapInap,Aamiin,2 hari yang lalu,aamiin
@tedyherdyana9371,Aamiin.,2 hari yang lalu,aamiin
@BoyJawa-qd8uh,"Ya Allah segerahkan lah Roy panci cs CPT masuk buii..biar para kacung"" PDA demo kasiah mereka"" para kacungng nya panci cs biar dpt lontong satu biji😅😅😅",2 hari yang lalu,allah gerah lah roy panci cs cpt masuk buiibiar kacung pda demo kasiah kacungng nya panci cs biar dpt lontong satu biji
@wasistanvan6613,"panci suruh kembalikan dulu 😅
    9,5m uang rakyat 😂",1 hari yang lalu,panci suruh kembali dulu m uang rakyat
@dimasseto7248,"fakta2 yg di ajukan roy suryo cs logis dan terang benderang, sangat dragukan ijasah jokowi
dipakailah logika kekuasaan lewat polisi dengan membangun argumen dan narasi via tenaga ahli
dan pada akhir nya logika akal sehat masyarakat akan dipaksa untuk menerima logika kekuasaan itu.",1 hari yang lalu,fakta aju roy suryo cs logis terang benderang sangat dragukan ijasah jokowi pakai logika kuasa lewat polisi bangun argumen narasi via tenaga ahli akhir nya logika akal sehat masyarakat paksa terima logika kuasa
@barbarking307,Tuman 😂,1 hari yang lalu,tuman
@BOBAChanel-s1g,Bawa2 nama TUHAN 😂😂😂,1 hari yang lalu,bawa nama tuhan
@abahlukychanel5346,"​ @AjiSalim-fb4mr komentar blunder, secara tdk langsung mengakui bahwa kubu yg anda dukung telah melakukan kebohongan 😅😅",1 hari yang lalu,fbmr komentar blunder tdk langsung aku kubu dukung laku bohong
@arifhandy4619,Yang pengalaman masuk bui siapa? 😂,1 hari yang lalu,alam masuk bui siapa
@rinipadangprancis695,Preeeeet 😂😂😂,1 hari yang lalu,preeeeet
@achmada-np1bs,Amiiin,1 hari yang lalu,amiiin
@udinjaenudin-w8r,Pejuang    yg sia sia  konyol,1 hari yang lalu,juang sia sia konyol
@udindinoce9978,"klo Tuhan gak sesuai mau mu, apa akan nyalahkan Tuhan ???? 🤭😬",1 hari yang lalu,klo tuhan sesuai mu apa nyalahkan tuhan
@srisuciatimakmur8352,Allahumma Aamiin Ya Mujibassailin 🤲🏻🤲🏻🤲🏻,1 hari yang lalu,allahumma aamiin mujibassailin
@WahyuniRimawati,​@wasisdya gak kuat beli pancitanvan6613,17 jam yang lalu,kuat beli pancitanvan
@luqar1f,"Pengadilan adalah tempat yg tepat untuk menguji kejujuran, ketahuan siapa yg jujur siapa yg bohong.. dan yg bohong bakalan masuk penjara",2 hari yang lalu,adil tempat tepat uji jujur tahu siapa jujur siapa bohong bohong bakal masuk penjara
@andrevixon.6923,​ @luqar1f ini konoha. Ingat kasus ekspor cpo yg merugikan negara 11trilyun lebih...?? Di pengadilan justru terdakwa di vonis bebas & ternyata setelah di usut oleh kejaksaan terbukti hakim & panitera di suap oleh terdakwa lewat pengacara. Mencari orang jujur di negeri konoha itu ibarat mencari jarum di jerami.,2 hari yang lalu,konoha ingat kasus ekspor cpo rugi negara trilyun lebih adil justru dakwa vonis bebas nyata usut jaksa bukti hakim panitera suap dakwa lewat acara cari orang jujur negeri konoha ibarat cari jarum jerami
@bojongsur1881,"​ @andrevixon.6923 kasihan sekali klo udah gak percaya penegak hukum di Indonesia 😂 pasti hidup nya cape banget,klo saya nih mending pindah ke negara lain 😂🏃🏃🏃🏍️",2 hari yang lalu,kasihan sekali klo percaya tegak hukum indonesia hidup nya cape bangetklo mending pindah negara
@AjiSalim-fb4mr,"Negri angin,,",2 hari yang lalu,negri angin
@JainapInap,Kalau mmg benar asli semoga pembela pak jokowi sehat selamat..tapi klau berbohong menutupi kebohongan semoga cepat dapat ajab di dunia ini juga di hina sehina hina nya Aamiin,2 hari yang lalu,mmg benar asli moga bela pak jokowi sehat selamattapi klau bohong tutup bohong moga cepat ajab dunia hina hina hina nya aamiin
@dodol9792,"​ @JainapInap 
Kalau yg menuduh gak dikoment..?",2 hari yang lalu,tuduh dikoment
@dodol9792,"SIMBOL NEGARA INDINESIA ADALAH PANCASILA.. ""BHINEKA TUNGGAL IKA"".

SEJAK KAPAN BERUBAH JD ""KEKUJURAN"".",2 hari yang lalu,simbol negara indinesia pancasila bhineka tunggal ika sejak kapan ubah kujur
@iminodhe4220,​ @dodol9792  bisa di jelaskan ? Soalnya sya kurang faham dgn komen abang 🙏,1 hari yang lalu,jelas soal sya kurang faham dgn komen abang
@dodol9792,"​ @iminodhe4220 
Koment yg mana ?",1 hari yang lalu,koment mana
@jefrisupriyadi5541,"Beginilah orang yang gak percaya sama ajaran atau aturan negaranya sendiri dan percaya sama ajaran atau aturan dari luar, padahal ajaran dari luar itu terkenal dari negara jahiliyah, kemungkinan besar ajaran dari jahiliyah banyak yang bohong dan halu",1 hari yang lalu,begini orang percaya ajar atur negara sendiri percaya ajar atur luar padahal ajar luar kenal negara jahiliyah mungkin besar ajar jahiliyah banyak bohong halu
@isnawati-ii6pf,​ @iminodhe4220  ngomong 1 lakukan yang 1 jangan 2  apalagi 3  itu maksudnya,1 hari yang lalu,ngomong laku jangan maksud
@blegedutchanel551,Tunggu saja p❤engadilan .siapa yg pakai bajuor❤,5 jam yang lalu,tunggu adil siapa bajuor
@Atiiiii-el4th,"Itu susahx krn nt km blg jujur klo roy cs yg d menangkn gmn klo emg asli ijazahx pk jkw ms mo d blg palsu br d blg jujur, aneh bin ajaib",2 hari yang lalu,susahx krn nt km blg jujur klo roy cs d menangkn gmn klo emg asli ijazahx pk jkw ms mo d blg palsu br d blg jujur aneh bin ajaib
@rudijunizar5864,Yahh ahli ini  sdh pasti pilihan jokowi...mana  berani polisi manggil ahli yg kontra jokowi..,2 hari yang lalu,yahh ahli sdh pilih jokowimana berani polisi manggil ahli kontra jokowi
@dadsaccount8354,"​ @rudijunizar5864 Terus lo akan bilang polisi dan pengadilan berpihak jokowi kan wkwkwk, knp gak lapor NATO aj klo gt 😂😂😂",2 hari yang lalu,lo bilang polisi adil pihak jokowi kan wkwkwk knp lapor nato aj klo
@shopidshopid9236,"Sidang belum berjalan sudah seudlon  , trs maunya gmna ?
Salah / tidak jokowi harus di hukum penjara 150 thn gitu baru puas gerombolan orang2 yg sakit hati termasuk semua dari HTI /FPI .",2 hari yang lalu,sidang jalan seudlon mau gmna salah jokowi hukum penjara thn baru puas gerombol orang sakit hati masuk semua hti fpi
@NgatemiKasih-l8w,"Yg jujur satu yg bohong seribu yg bohong tetap menang,selamat bertahan dg bohongnya sampai titik penghabisan,stlah itu kejujuran akan muncul",2 hari yang lalu,jujur satu bohong ribu bohong tetap menangselamat tahan dg bohong titik penghabisanstlah jujur muncul
@NuryantoO-wq5dj,"Akan kena gatal"" selama nya semua nya n setruk selama nya Aamiin🤲",2 hari yang lalu,kena gatal lama nya semua nya n setruk lama nya aamiin
@dodol9792,"​ @NuryantoO-wq5dj 
Akan datang hari Mulut dikunci Kata tak ada lagi..
Berkata tangan kita Tentang apa yang dilakukannya.
Berkata kaki kita Kemana saja dia melangkahnya.
Tidak tahu kita Bila harinya..
Tanggung jawab tiba.",2 hari yang lalu,wqdj datang hari mulut kunci kata tak kata tangan apa laku kata kaki langkah bila hari tanggung jawab tiba
@nurlelimarpaung8580,"LIBATKAN SAJA DARI HUTAN,,,,BIAR SERU DAN BISA JADI PRESEDEN BAGUS UTK ANAK CUCU YG AKAN DATANG",2 hari yang lalu,libat hutanbiar seru preseden utk anak cucu datang
@hanifanaffandi8679,Masing masing pihak bawa ahli yg berimbang masing masing 25 ahli,1 hari yang lalu,masing masing pihak bawa ahli imbang masing masing ahli
@mannto8287,"Yang dukung rismon dkk wajib di pertanyakan ,😂😂😂 
?",1 hari yang lalu,dukung rismon dkk wajib tanya
@ekamahardika6515,Yg jujur panci cs katanya yg bodoh😂😂😂😂,1 hari yang lalu,jujur panci cs kata bodoh
@sunardisunardi5776,"Aku gak butuh bnyk2 tnga ahli,cukup 1 aza yg alhli mmgaburkan masalah aza biar fres bebas gak beban lagi",1 hari yang lalu,aku butuh bnyk tnga ahlicukup aza alhli mmgaburkan masalah aza biar fres bebas beban
@ceritaaqib8430,Se7 kita doa kan yang membela dengan didasarkan tdk dengan kebenaran dan jujur smga kena azab Allah Aamiin YRA.,1 hari yang lalu,se doa kan bela dasar tdk benar jujur smga kena azab allah aamiin yra
@HarmonoMono-o8p,Jangan jangan sebalik nya ya​ @NuryantoO-wq5dj ,1 hari yang lalu,jangan jangan balik nya wqdj
@HarmonoMono-o8p,Hoy osinudin,1 hari yang lalu,hoy osinudin
@DeaikFormosa,Psti km bilng tdk jujur,1 hari yang lalu,psti km bilng tdk jujur
@BudiAnto-qb4cm,"Tinggal tunjukan ijasah jokowi trus diuji bareng oleh ahli kdua pihak jangan cari"" Pasal untuk menghukum orang",1 hari yang lalu,tinggal tunjuk ijasah jokowi trus uji bareng ahli kdua pihak jangan cari pasal hukum orang
@maryatimaryati674,"Org yg bakal menang omgnya santai!! Krn bakalan menang!!,,, beda ma yg mo klh!!,, omgnya ndrojos keras   itu pertanda takut kalah tapi emg betul2 kalah!!!😂😂😂😂",1 hari yang lalu,org menang omgnya santai krn bakal menang beda ma mo klh omgnya ndrojos keras tanda takut kalah emg betul kalah
