Cleaned_Comment,Sentiment_Label
kelar bikin negara panci,negatif
dewa panci laknatullah,negatif
juta ahli tak masalah penting independent,positif
pempitnah siap pkai bju oren,positif
mana berani,netral
aamiin allahumma aamiin,netral
acara sandal japit,netral
kuasa hukum fulus,positif
betulkekalahan sangat sakit,negatif
terimakasih pak kasmudjo kata jujur,positif
kekeh dusta,negatif
butuh ahli penting tunjuk yng asli biar teliti ramai media penuh buka,positif
orang pintar jujur tdk butuh negara konoha,positif
wkwkwk,netral
polri usut kasus hnya pilih ijazah palsu kapolri copot presiden ambil alih kasus cap penghiatan penghianat rakyat khianat jokibul ketidakpastian usaha selesai kasus jagung dpr,negatif
awal owi bilang kasus receh eh receh brapa ow,netral
y loe kan gtu,netral
enak dengar bicara bang ahmad nampak orang beril etika bicara isi dasar fakta buka informasi selimut,positif
allah sama bung akmau atw lebih saksi ahli rakyat ind selalu doa utkmu,positif
berat maju walaupun berat,negatif
jujur susah negeri hati rasa kn bgmna pimpin bohong g,netral
waduh pak hakim pak jaksa acara kerja penjara orang,negatif
ayo br orang jujur jgn mundur hdp pr bohong benar menang,positif
koment mana,netral
rivai aryanto kan kubu tv one mesti hrs adilseyogianya undang tokoh lwbih netral,positif
sdm rendah alias botol,negatif
bongkar semua busuk jkw,negatif
jelas soal sya kurang faham dgn komen abang,negatif
satu jgn lupa km,negatif
bela benar mna tim gerombol cptdi jeblos nusakambangan amiiiin,positif
ngising,netral
kok pikir asli asli proses terbit nya masalah sayamakanya butuh uji forensik lebih baik hadir saksi ahli luar negeri punya sertifikasijadi simpang siur jadi,positif
ahmad tompel,netral
orang salah ganjaranya buruk lihat siapa salah penjara semua ikut serta campur tangan tuhan bila masuk penjara jangan tuding bukan bukan klo terima semua kelompok dajjal percaya nyata campur tangan tuhan,negatif
jokomaniaelu ekor,netral
orang sakit hati sadar apabila kasih patok atas bawah,netral
ahli teliti roy suryo cs,positif
looo phng,netral
semua dalang roy cs wayang,netral
biasa ngakali hukum siapa percaya semua serba rekayasa,negatif
drs insinyur jokowi kkn lulus bar s cream bilang kkn kurang koordinasi mulyono lupa skenario,negatif
betul aryanto nasehat kurang sehat,netral
org gk waras samapai hrs kumpul ahli ucap bebas bicara padahal roy cs gk perlu ahli utk masuk penjara siap rela klo ijazah jelas asli kan kata semua pakar pihak jokowi raka nuduh palsu tp klo nyata asli kena pidana simpel kan gk perlu repot debat tiao hari baik tv maupun medsos sekali siap masuk penjara duga tahan almamater kampus ugm semua jebol ugm ijazah skripsi asli milyar,positif
bang ahmad jooos mantaaaaap,netral
jujur tuju benar,positif
kok paham orang iniorang target jokowi meski tunjuk cari salah mikir,negatif
acara cerdas jauh jilat pak ahmad apa muka nya dasar kan pakta masuk akal semua pegacara bukan ikut bohong mantaf pak ahmad maju negeri jujur,positif
abang jas coklat aku sering ngliat banyak tempat selalu akhir dng ngotot kilas kliatan pinter ngomongnya nrocos pdhl klo amat sungguh hny pinter ngeyel dulu kagum ttp maaf dlm kasus roy ijazah aku bosen,positif
bang ahmad,netral
hebat bang ahmadlebih cerdas berani,positif
tangan kasus ijazah jokowi perlu jujur transparan masyarakat tauhasil benar buat jujur tegak hukum,positif
tunjuk ijazah bukan tabu,negatif
bapak simpel jokowi tunjuk ijasah asli selesai bukti asli org sebut lansung tangkap balik asli tangkap jokowi,positif
dunia negara indonesia jelas orang me malsukan ijazah kok bela mati an,negatif
masuk salah satu cara ulur waktu kapolri,negatif
semua acara jokowi aryanto debat lawan aku brow lawan aku,negatif
juang sia sia konyol,negatif
benar,positif
profesional ijazah benerdi bukti tunjuk saksi umum buka jujur baru fair,positif
tanda kurang mampu memangkis dalil pak roy suryogbu pak ahmad kpejuang benar,positif
orang selimut benci apa jadi kepencian,negatif
moga saksi ahli konsekwensi bukan transaksi ahli hishjab karna malaikat benar,positif
amiiiin bohong dn fitnah pasti baju oranye masuk gerombol roy suryo,negatif
masuk pak ndul ahli ahli,positif
simbol negara indinesia pancasila bhineka tunggal ika sejak kapan ubah kujur,netral
panci suruh kembali dulu m uang rakyat,negatif
kl ahli panggil dr institusi polisi aza bohong,netral
ngomong laku jangan maksud,netral
pahmad,netral
lihat nyata nasehat polisi cendrung bela jokowi teliti anggap tuduh ijazah palsu padahal awal lihat rektor ugm kader psi tunjuk ijazah jokowi lalu pak rismon teliti ugm temu janggal lalu rame unjung ugm nah lihat berita nya media,negatif
mf,netral
ingat kasus vina joshua mirna,netral
tuhan tidur salah tetap salah benar hadir waktu adil akhir zaman lah hukum semua masuk media,netral
usah ahli deteksi bohong,netral
biar adu sidang langsung biar masyarakat benar,positif
buzzer,netral
bohong kena sakit kulit budug,negatif
iyo kali bukti orang beraktifitas biasa,negatif
kacau,negatif
bukan nya posisi sakit akal,negatif
iya,netral
allah tunjuk kuasa segera engkau azab orang penuh dusta,netral
allah sama orang salah dn benar,netral
haduhh dikit nya sekali semua ahli seluruh indonesia hadir biar ribetnya kagak nanggung,positif
segala berbelitbelit cari jalan keluarklo susah knp gampang,negatif
tim tpua komen,netral
sangat nyata kasus mirip spt jadi pd gus nur n bambang try,netral
biar yakin karna ditunjukin tetap edar media foto bukan foto,positif
publik mana,netral
yap bang ak memang tunjuk berani kuat argumen logis jaga hukum nilai moral agama kamu suka aku lebih bahagia,positif
luar biasa apa nya acara kalah,negatif
rakyat mna dapat dg kl,netral
hozinudin baru acara akal sehat,positif
akn adilklau kplri nya m sy h listio sigit,netral
masuk aj sana sdiri jgn ngajak rakyat indonesia aku ogah,netral
lindung penjara maksud,negatif
pal ahmad acara cerdas sehat selalu,positif
negara buat mainannegara luar sana maju bikin plonga plongo jelas,positif
nasehat kapolri rasa termul,netral
tangkap jokowi penjara kan tipu dgn ijajah palsu doa bohong kok arianto perlu bela bohong,negatif
yah lanjur mati bohong kubur bohong maksud purapura kubur nyata buang laut,negatif
bukan tdk percaya ama jokowi rakyat sdh terlalu banyak dibohongiayooookita cari apa sj bohong ngomong bohong ngga bersalxhkannah bpk jokowi,negatif
qduh nalar balik bela jokowi,netral
jahat apa prasangka buruk tu,negatif
mulyono bel ijazah asli kasih foto kopi pasar pramuka,positif
ahli siapa apa yakin ahli independen pihak salah satu pihak,positif
cerdas kambing,positif
lerja polisi sangat muak kan tinggal sita ijazah asli nya uji forensik sama ahli tiga pihak pihak jokowi pihak roy suryo pihak polisi beres uang rakyat guna bayar orsng profesional,positif
negarawan baik tunjuk ijazah pak jokowi please henti ribut fokus bangun negara,netral
diiiiiiaaaaaaammmmmmmmm,netral
temul pak jkw berbohongmasih ajh percayaaslh satu nya mobil smkbayak cobah cek berpa bayak bohong,negatif
ak cerdas bicara mana sesuai fakta benar claim ijazah palsu orang cerdas ahli ilmuwan doctor lawyer bukan rakyat biasa spt bbtri gusnur penjara walaupun barang bukti tdk pernah tunjuk publik makin lama rakyat makin cerdas nilai ijazah aslipalsu,netral
nama ahli punya ilmu tekun se sekolah titel nya titel dr drs kok jadi ahli forensik digital salah atur ahli abal abal,positif
berat sekali tugas polisi sidik jaksa tuntut hakim putus perkara duga ijazah palsu tiga instansi tegak hukum bagai tegak benang basah,negatif
kurang atuahli waris ijazah,negatif
jujur apo hoax semua,positif
diaaammm padahal tua bukan jujur siarianto biar tenang hari tua,positif
ono untung e bro,positif
mantab jawab cerdas mas khozinudinteruskan mas bela benar,positif
dengar stetement bela jokowi perut serasa montahmuak mendengarnyatakutlah mahakuasa milik adil sungguh,positif
sdh raba terawang org labfor lho ragu bilang asli,netral
masyarakat percaya samawakil nya masyarakat rismon percaya rusmon masyarskat j percaya ijasa jokowi asli percaya penga cara jokowi akhir satu percaya dgn hasil putus hakim biar tidsk pecah belah,negatif
preettt,netral
libat hutanbiar seru preseden utk anak cucu datang,netral
moga pak kasmujo sehat walafiat,positif
usul konkrit uji karbon ijasah jkw tahu tahun berapa kertas ijasah jkw keluar,negatif
nasehat apa cocok nasehat nusa kambang org terlalubanyak air mulut,positif
pak ahmad khozinudin sangat cerdas,positif
konsisten memang si tompel konsisten kalah sidang lihat si gusnur baru keluar penjara tobat nya,negatif
aduhhh bingung konoha cukup org jujur pintar beres,positif
lenih cepat grombolan gk penting dy tangkap biar aman,positif
ijazah ditunjukin mah omong kosong fitnah siapa sebenernya bos,negatif
hakim tantang tuhan jgn,netral
tompel mulai panik,negatif
komenya anak abah,netral
cukup kasus cirebon pegi arianto berat orang tak salah percuma nasehat,negatif
kamu lapor polisi karna km tuduh malingsiapa bukti,netral
lagi tvone ngundang orang polri netral,netral
tompel sangka turut provokator demo antek antek tpua,negatif
tunggu letak bohong kuak,negatif
jokowi siksa diri sendiri hidup bikin sulit sendiri,netral
org menang omgnya santai krn bakal menang beda ma mo klh omgnya ndrojos keras tanda takut kalah emg betul kalah,negatif
makan gaji buta bosss,negatif
dlu bnci bpk ahmad pdhal org sgt cerdas hati sdh buta dlu mulyono and the genk,positif
bkan ahli d sebut ahli bnr sdah bidang ahli nya roy cs ahli apa dlu,positif
maennya kurang jauh,negatif
luar biasa pak ahmad sampai sangat jelas sangat paham dimengertidisini pihak sekali luar biasa pak ahmad,negatif
blok medan mulai goyang,netral
aria to kuntadi nasehat polri resplan samasekali pihak belah,negatif
semngat bro jangan takut intervensi benar muncul,netral
susah negeri jujur persen palsu asli nilai rapot anak,netral
tuntas asli palsu baru menuntutgimana,netral
iya musti libat,netral
klu ahli dunia hadir kilah lidah org klu ahli allah swt baru lidah tdk kilah mudah ahli hadir wakil ahli dr allah swt amin,positif
gk selesai dulu soal ijazah duga palsu dapat putus kuat hukum baru lanjut dgn duga cemar nama baik,negatif
apa berapa ahli sampai lama percaya tetap percaya,positif
termul sangat yakin roy suryo cs bukti salah,netral
tul,netral
cerah bang ahmad acara hebat bravo bang,positif
betul sekali ariyanto jangan pakai,netral
cepat sabar nonton debat adil pjokowi vs roy suryo cs,positif
hasil nasehat masuk sambo kali,netral
ufzm yakin ijazah mulyono asli klo ijazah jokowi jelas palsu,positif
tuman,netral
hakim bs beli,netral
harus janggal jawab bukan difreming tanya apa jawabanya apa sy lebih paham bang roy koar,negatif
znyr sedrhana tggl tunjukn jgn fotocopi knp slalu fotocopi duga it ijzh milik org tempel foto orang mirip mulyon dn org bukn dri ugm tp dri ui,netral
moga bohong serta dukung bohong semua dapat azab allah segera tobat,negatif
tunjuk henti cari salah kalian benci akut,negatif
jujur satu bohong ribu bohong tetap menangselamat tahan dg bohong titik penghabisanstlah jujur muncul,netral
kapolrinya takut n sungkan dgn jokowi,negatif
aku butuh bnyk tnga ahlicukup aza alhli mmgaburkan masalah aza biar fres bebas beban,negatif
tunjuk ijasahlangsung tahu,netral
moga ahmad khonudin sehat kuat dgn semua krn juang bagi luar lanar semua moga allah balas berani ahmad semua musuh musuh rangkai lobi,negatif
luar biasa ngocehny bokin mangkel,negatif
znyr tunjukin ijasahnya kok repot,netral
inti hasil teliti forensik fair takut uji chalenge teliti kredibel masalah hasil uji forensik kata identik boleh pihak laku chalenge ilmiah polemik seolaholah putus pihak,negatif
ye gila,negatif
turun lumayan dpt nasi bungkus,positif
libat juta ahli tak fungsi ahli lapor tdk libat proses,positif
bapak tengah bukan ahli kuat giring sblh,positif
kl asli gk mungkin gugatlogikanya,netral
ahmad khozinudin vs projo,netral
btull stujuuuu merka dipertgugjwabkn alam barzah bazer pndusta geng slo,netral
betul ulur waktu utk dapat ijazah asli dg segala cara,netral
acara ahmad khozinudin cerdas jelas mudah erti smga sht slalu lancar bela benar amiin,positif
pretttt,netral
tahu palsu nya kasih ribet dlu kata projo,negatif
ahli percaya kelompok sakit hati ahli,positif
rasional jelas pak ahmad khozinudin,positif
benar versi bohong banyak versi tutup bohong,netral
lah nunjukin asli,positif
tuju orang baik rismon cs lindung tuhan krn bongkar bohong lama puluh tahun benar bengis ratus juta rakyat indonesia tipu tahun tahun rasa salah,negatif
kubu abah,netral
lingkar mulyono,netral
awal bohong tutup bohong ikut jadi jokowi,negatif
ribu ahli tak kan mampu tutup kebohongansatu jujur hilang kebihongan,positif
kamu percaya ugm roy cs,netral
sejarah catat siapa berbohongygsimpel bikin ruwet,netral
znyr aku wong njowo seko purworejo jateng aku luweh percoyo karo roy suryo rismon tiva tpua dkk bravo bravo bravo juang,netral
sakit hati lihat benar sulit nyata benar apa salahsaki hati permanen sulit sembuh,positif
dewa panci masuk bui,negatif
bpjs km katbya palsu,negatif
smg diwaktunyaproses adil terbukaadil transparan smg benar buka lebar aamiin,positif
dr awal tanya baik baik bakal inidari awal ngegas nuduh ijazah palsusaya rakyat jelata langsung tuduh terimaapalagi jokowi mantan presiden periode,positif
banyak muliut,positif
tuju,netral
bang ahmad khozinudin singa benar balik meja hukum memang sangat cerdas,positif
pernah adil upaya dulu,netral
alam masuk bui siapa,netral
kamu betul mas bela benar aku dukung mudah cepet selesai benar acara roi,positif
acara roy suryo cs,netral
moga iblis buat curang zalim segera azab allah swtaamiin,negatif
percaya seluruh makhluk bela buah bohong akhir bohong tetap hina,negatif
liat siapa belit awal ijazah skripsi kkn buat ijazah pasar pramuka,netral
jujur simbol buah negri wibawa,positif
nanti siapa bohong ugm bohong lompat monas,negatif
emng bagi publik mana rusuh,negatif
mungkin ijazah lahir tunggu hamil,negatif
maju pak ahmad kozinudin rakyat tetap pihak bp klo benar,positif
luar biasa ahmad khosinudin jujur mmng sederhana mudah pembuktiannyakebohongan sangat ribet mbulet,netral
ohh seraaaammmm,netral
salot dgn abang cerdas jelas,positif
saksi ahli beri terang tdk benar baru dipermasalhkan,positif
diammmmmmmmmm,netral
benar oppo benar haaa nalar waras,positif
sifat bohong klo sifat kenegarawanan mantan presiden,negatif
diaaaaaammmmm,netral
butuh bukan orang ahli orang netral indenpenden menihak salah satu pihak,netral
om tom batre nya on chargernya,netral
muhammad tompel,netral
gagas fulus,netral
paling penting n tentu perlu hakim ahli hukum jujur,positif
tuhan patung,negatif
betul alhamdulillah dulu proses terima kerja salah satu pt nasionalsyarat cv fc ijazah legalisir tunjuk ijasah asli klo pt biasa aj serah ijasah asli,positif
yakin ahli masuk anginkecuali pihak roy suryo cs wakil baru adiltapi ahli datang bareskrim dagelanwaduuuuh kerja tidur aja,positif
bohong pasti masuk penjara,negatif
acara hebat provokator,positif
betul bohong masuk roy suryo cs,negatif
serah kalian ternak hewan,netral
sengajamenghina hamorang publik utk informasi ungkap asli palsu ijzah jkw langgar sembunyi pasal pasal telahdiaebutkan atas,netral
sehat selalu lihat hti bubar,positif
fitnah tanggung jawab dunia akhirat,negatif
jokowi lsngsung tunjuk ijazah asli kyk obama selesai gk bikin gaduh,positif
tutup bohong sangat sulit tutup dgn bohong lama mati dlm ada bohong,negatif
bapak sehat selalu smg allah selalu lindung serta keluarga amin,positif
ug bilang kan waras,netral
mulai belit lepas jerat hukum,negatif
banyak minum konidin,positif
gx sakit hati buat apa lol,netral
baik wakil ahli pihak drsuryo lebih obyektif,positif
fakta aju roy suryo cs logis terang benderang sangat dragukan ijasah jokowi pakai logika kuasa lewat polisi bangun argumen narasi via tenaga ahli akhir nya logika akal sehat masyarakat paksa terima logika kuasa,positif
pokok pihak jkw arti anggap jujur malaikat bela jkw bilang jujur,positif
maju pantang mundur bung ahmad acara cerdas,positif
ndasmu kui,netral
akh tim jokowi,netral
inti h t i f p i alir sesat,negatif
kasihan sekali klo percaya tegak hukum indonesia hidup nya cape bangetklo mending pindah negara,negatif
ada orang jujur negri,positif
akal bulusss,netral
apa malaikat nanyain alam kubur bohong,netral
moga pak prabowo simak telaah kasus lindung anak negeri benar junjung hukum adil,positif
libat rismon kesan rekayasa redam ketidakpercayaan,negatif
coba kamu sebut dalil,netral
percaya libat banyak ahli independen yng kompeten periksa ijazah jokowi,positif
buzer senior,netral
dx tuju bohong seluruh rakyat indonsia,negatif
liat endingnya sadis,netral
nama beruang ytube erti galang operasi intelegent negara strategi intelegentnya sedang berangus antek hti akar lalu dekat kasus ijazah strategi muncul antek hti bagai elemen mudah ringkus masyarakat aman damai nkri jaya tuju indonesia emas,positif
gax takut akhirat,negatif
tuju,netral
memang bikin percaya,netral
buzzer banteng,netral
harus waktu uji forensik pak rismon pak roy suryo libat wakil publik,netral
sidang pak kasmujo tunjuk p jokowi jujur,positif
tunjuk benar sungguh allah,positif
susah harap adil polisi,negatif
baris sakit hati vs baris kang bohong cocok oon,netral
tunggu adil siapa bajuor,netral
si ahmad kesan pintar yak padahal kosong wkwkwk,positif
tuju mirbiar gigi kuning,negatif
tuju bg kozainudin polisi ragu makany hadir ahli,netral
proses buat asli palu,positif
akal sehat jujur junjung tinggi sdh jelas siapa bohong cetho welo ketok moto,positif
dewa panci,negatif
mesti bukti ijazah anggap palsu banding dg ijazah aslidari u g m memang buat mbulet alias buat sulit kok masyarakat sdh pd kok,negatif
luar biasa asal omong hahaha,negatif
pak ahmad khuzinudin acara handal berilmucepat org erti,positif
kasus masuk ranah hukumpembuktian dipengadilanyg tuduh bukti,netral
kalian kelompok orang,netral
sakit,negatif
ragu pa aryanto masuk polisi jujur polisi jilat kok pensiun narasi jilat heran,positif
polemik lucu geli malu karna apa karna laku orang didik tinggi,negatif
orang waras mang mudahtp rismon cs benar punya,positif
jahat menangtapi sifat utk benar menyatakanbahkan menghacurkan semua jahat sendiri,negatif
manussia,netral
bayang berpa dana kucur kompak tae memang,positif
hhh knapa msh libat ahli klo mmg asli tunjuk,positif
hahaha sory bro pancing komen,netral
ahli harus pahamkalau pahambukan bidang,positif
cangkemu kui,netral
wkwkwk gw liat ketawa kala otak emosi sinkron bela cinta duit,positif
nasehat kapolri jadi jubir mulyono,netral
kecil om thn korupsi rajalela fantastis mulyono gk apa parah y,negatif
proses fair adil jadi tuduh kena pasal cemar nama baik inivterkait bagaimana sampai berita publik ijazah benarbenar bukti forensik anda palsu hakim berani putus palsu meski tuduh kena pasal cemar nama baik,negatif
bukti asli nya dulu,positif
aryanto seperti hati nurani tutup dg amplop,positif
kl lapor damkar salah memang sulit cari adil konoha sy harap damkar beri wenang andil tegak adil,negatif
khosinudin tdk benar cari pembenaransemoga ikut masuk,positif
asli nya barang biar buat nya bicara kau tak percaya buat nya ceritanyalogika mu dangkal,netral
rismon si muka hancur roy panci siapa,negatif
kata siapa semua lahir bsr indonesia hukum indonesia seringkali tajam bawah tumpul atas gmna bobrok kepolisianhakim indonesia menang kuasa duit,netral
inti h t i f p i alir sesat,negatif
tuduh bukti kok tuduh membuktikanlogikamu salah bung,negatif
dukung rismon dkk wajib tanya,positif
panas kalung kulkas,netral
sangat betul,netral
ijazah pasti asli dulu periksa sama libat gugat asli baru nama fitnah cemar nama baikakal sakit bagaimana orang percaya,netral
sy rakyat kecil netral karna penting perlupemimpin bohongyg jelas didik ijazahpalsu,netral
moga cepat selesai sesuai putus diambilkalau ikan peluangmalah luas gali gali,positif
segera spy tdk gaduh mlulu,netral
kasih sederhana minta belit belit pihak ugm clear simpel,netral
benar tetap pihak ijazah palsu tukang bohong,netral
bukan cerdas ngotot,positif
pak ahmad hojonufin orang cerdas berani mantaapp,positif
bravo aryanto kamu juang lusr biasa dukung lindung semua bohong jahat mulyono sejarah catat rakyat selalu ingat,negatif
memang jelas pampang,netral
akhirat bekit belit,netral
bukan buzzer,netral
ijazah kl buka dr dl gk smpai hr kelaruji frnsik dr pihak baru msyrkat taukm termul jga yammx bkdohnyata jkwi bohong super ruwet kok mata gk lihat kl,netral
kurang apem banyakin istiqfar mas nyesel lohmati ngak ngerasain banyak apem,netral
tuduh jabat publik bos wajar identitas akses tanya publik baik sarap dulu kayak sarap,positif
